127.0.0.1 - - [13/Apr/2020:09:45:16 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [13/Apr/2020:09:45:17 +0900] "GET /WebClient/Ex11_Basic_Css_Float.html HTTP/1.1" 200 354
0:0:0:0:0:0:0:1 - - [13/Apr/2020:09:45:33 +0900] "GET /WebClient/Ex11_Basic_Css_Float.html HTTP/1.1" 200 351
0:0:0:0:0:0:0:1 - - [13/Apr/2020:09:45:47 +0900] "GET /WebClient/Ex11_Basic_Css_Float.html HTTP/1.1" 200 351
0:0:0:0:0:0:0:1 - - [13/Apr/2020:09:47:26 +0900] "GET /WebClient/Ex11_Basic_Css_Float.html HTTP/1.1" 200 599
0:0:0:0:0:0:0:1 - - [13/Apr/2020:09:48:26 +0900] "GET /WebClient/Ex11_Basic_Css_Float.html HTTP/1.1" 200 599
0:0:0:0:0:0:0:1 - - [13/Apr/2020:09:50:16 +0900] "GET /WebClient/Ex11_Basic_Css_Float.html HTTP/1.1" 200 866
0:0:0:0:0:0:0:1 - - [13/Apr/2020:09:50:36 +0900] "GET /WebClient/Ex11_Basic_Css_Float.html HTTP/1.1" 200 866
0:0:0:0:0:0:0:1 - - [13/Apr/2020:09:52:00 +0900] "GET /WebClient/Ex11_Basic_Css_Float.html HTTP/1.1" 200 866
0:0:0:0:0:0:0:1 - - [13/Apr/2020:09:53:42 +0900] "GET /WebClient/Ex11_Basic_Css_Float.html HTTP/1.1" 200 1136
0:0:0:0:0:0:0:1 - - [13/Apr/2020:09:54:36 +0900] "GET /WebClient/Ex11_Basic_Css_Float.html HTTP/1.1" 200 1409
0:0:0:0:0:0:0:1 - - [13/Apr/2020:09:55:33 +0900] "GET /WebClient/Ex11_Basic_Css_Float.html HTTP/1.1" 200 1411
0:0:0:0:0:0:0:1 - - [13/Apr/2020:09:56:10 +0900] "GET /WebClient/Ex11_Basic_Css_Float.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2020:09:56:20 +0900] "GET /WebClient/Ex11_Basic_Css_Float.html HTTP/1.1" 200 1408
0:0:0:0:0:0:0:1 - - [13/Apr/2020:09:57:15 +0900] "GET /WebClient/Ex11_Basic_Css_Float.html HTTP/1.1" 200 1415
0:0:0:0:0:0:0:1 - - [13/Apr/2020:09:59:13 +0900] "GET /WebClient/Ex11_Basic_Css_Float.html HTTP/1.1" 200 1544
0:0:0:0:0:0:0:1 - - [13/Apr/2020:10:01:52 +0900] "GET /WebClient/Ex12_Basic_Css_Float.html HTTP/1.1" 200 243
0:0:0:0:0:0:0:1 - - [13/Apr/2020:10:01:59 +0900] "GET /WebClient/Ex12_Basic_Css_Float.html HTTP/1.1" 200 243
0:0:0:0:0:0:0:1 - - [13/Apr/2020:10:04:44 +0900] "GET /WebClient/Ex12_Basic_Css_Float.html HTTP/1.1" 200 493
0:0:0:0:0:0:0:1 - - [13/Apr/2020:10:06:32 +0900] "GET /WebClient/Ex12_Basic_Css_Float.html HTTP/1.1" 200 589
0:0:0:0:0:0:0:1 - - [13/Apr/2020:10:06:34 +0900] "GET /WebClient/Ex12_Basic_Css_Float.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2020:10:06:42 +0900] "GET /WebClient/Ex12_Basic_Css_Float.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2020:10:06:43 +0900] "GET /WebClient/Ex12_Basic_Css_Float.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2020:10:06:43 +0900] "GET /WebClient/Ex12_Basic_Css_Float.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2020:10:06:43 +0900] "GET /WebClient/Ex12_Basic_Css_Float.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2020:10:07:55 +0900] "GET /WebClient/Ex12_Basic_Css_Float.html HTTP/1.1" 200 605
0:0:0:0:0:0:0:1 - - [13/Apr/2020:10:08:23 +0900] "GET /WebClient/Ex12_Basic_Css_Float.html HTTP/1.1" 200 605
0:0:0:0:0:0:0:1 - - [13/Apr/2020:10:10:20 +0900] "GET /WebClient/Ex12_Basic_Css_Float.html HTTP/1.1" 200 604
0:0:0:0:0:0:0:1 - - [13/Apr/2020:10:10:39 +0900] "GET /WebClient/Ex12_Basic_Css_Float.html HTTP/1.1" 200 620
0:0:0:0:0:0:0:1 - - [13/Apr/2020:10:10:58 +0900] "GET /WebClient/Ex12_Basic_Css_Float.html HTTP/1.1" 200 620
0:0:0:0:0:0:0:1 - - [13/Apr/2020:10:19:51 +0900] "GET /WebClient/Ex13_ResponsiveWeb.html HTTP/1.1" 200 1495
0:0:0:0:0:0:0:1 - - [13/Apr/2020:10:20:00 +0900] "GET /WebClient/Ex13_ResponsiveWeb.html HTTP/1.1" 200 1495
0:0:0:0:0:0:0:1 - - [13/Apr/2020:10:22:00 +0900] "GET /WebClient/Ex13_ResponsiveWeb.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2020:10:43:22 +0900] "GET /WebClient/Ex14_Form_Submit.html HTTP/1.1" 200 503
0:0:0:0:0:0:0:1 - - [13/Apr/2020:10:43:30 +0900] "GET /WebClient/Ex14_Form_Submit.html HTTP/1.1" 200 503
0:0:0:0:0:0:0:1 - - [13/Apr/2020:10:52:31 +0900] "GET /WebClient/Ex14_login.jsp HTTP/1.1" 200 296
0:0:0:0:0:0:0:1 - - [13/Apr/2020:10:52:41 +0900] "GET /WebClient/Ex14_login.jsp HTTP/1.1" 200 296
0:0:0:0:0:0:0:1 - - [13/Apr/2020:10:52:49 +0900] "GET /WebClient/Ex14_Form_Submit.html HTTP/1.1" 200 525
0:0:0:0:0:0:0:1 - - [13/Apr/2020:10:52:52 +0900] "GET /WebClient/Ex14_login.jsp?userid=ssss&userpwd=dsdf HTTP/1.1" 200 296
0:0:0:0:0:0:0:1 - - [13/Apr/2020:10:53:13 +0900] "GET /WebClient/Ex14_login.jsp?userid=ssss&userpwd=dsdf HTTP/1.1" 200 296
0:0:0:0:0:0:0:1 - - [13/Apr/2020:10:59:34 +0900] "GET /WebClient/Ex14_login.jsp?userid=ksks723&userpwd=1004 HTTP/1.1" 200 299
0:0:0:0:0:0:0:1 - - [13/Apr/2020:11:00:39 +0900] "GET /WebClient/Ex14_login.jsp?userid=ksks723&userpwd=1004 HTTP/1.1" 200 299
0:0:0:0:0:0:0:1 - - [13/Apr/2020:11:00:43 +0900] "GET /WebClient/Ex14_Form_Submit.html HTTP/1.1" 200 1464
0:0:0:0:0:0:0:1 - - [13/Apr/2020:11:00:50 +0900] "POST /WebClient/Ex14_login.jsp HTTP/1.1" 200 299
0:0:0:0:0:0:0:1 - - [13/Apr/2020:11:16:13 +0900] "GET /WebClient/Ex14_Form_Submit.html HTTP/1.1" 200 2559
0:0:0:0:0:0:0:1 - - [13/Apr/2020:11:16:13 +0900] "GET /WebClient/images/%ED%8A%A4%EB%A6%BD.jpg HTTP/1.1" 200 13368
0:0:0:0:0:0:0:1 - - [13/Apr/2020:11:16:22 +0900] "POST /WebClient/Ex14_login.jsp HTTP/1.1" 200 292
0:0:0:0:0:0:0:1 - - [13/Apr/2020:11:17:59 +0900] "GET /WebClient/Ex14_Form_Submit.html HTTP/1.1" 200 2620
