127.0.0.1 - - [10/Apr/2020:09:48:14 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [10/Apr/2020:09:48:42 +0900] "GET /WebClient/Ex05_Basic_Css.html HTTP/1.1" 200 527
0:0:0:0:0:0:0:1 - - [10/Apr/2020:09:48:42 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [10/Apr/2020:09:50:13 +0900] "GET /WebClient/Ex05_Basic_Css.html HTTP/1.1" 200 599
0:0:0:0:0:0:0:1 - - [10/Apr/2020:09:50:13 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [10/Apr/2020:09:50:37 +0900] "GET /WebClient/Ex05_Basic_Css.html HTTP/1.1" 200 645
0:0:0:0:0:0:0:1 - - [10/Apr/2020:09:54:14 +0900] "GET /WebClient/Ex05_Basic_Css.html HTTP/1.1" 200 936
0:0:0:0:0:0:0:1 - - [10/Apr/2020:10:06:13 +0900] "GET /WebClient/Ex05_Basic_Css.html HTTP/1.1" 200 1070
0:0:0:0:0:0:0:1 - - [10/Apr/2020:10:06:15 +0900] "GET /WebClient/Ex05_Basic_Css.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2020:10:06:33 +0900] "GET /WebClient/Ex05_Basic_Css.html HTTP/1.1" 200 1037
0:0:0:0:0:0:0:1 - - [10/Apr/2020:10:08:57 +0900] "GET /WebClient/Ex04_Basic_Css.html HTTP/1.1" 200 1049
0:0:0:0:0:0:0:1 - - [10/Apr/2020:10:09:13 +0900] "GET /WebClient/Ex04_Basic_Css.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2020:10:09:14 +0900] "GET /WebClient/Ex04_Basic_Css.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2020:10:09:19 +0900] "GET /WebClient/Ex04_Basic_Css.html HTTP/1.1" 200 1049
0:0:0:0:0:0:0:1 - - [10/Apr/2020:10:09:19 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [10/Apr/2020:10:09:20 +0900] "GET /WebClient/Ex04_Basic_Css.html HTTP/1.1" 200 1049
0:0:0:0:0:0:0:1 - - [10/Apr/2020:10:09:20 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [10/Apr/2020:10:09:21 +0900] "GET /WebClient/Ex04_Basic_Css.html HTTP/1.1" 200 1049
0:0:0:0:0:0:0:1 - - [10/Apr/2020:10:09:21 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [10/Apr/2020:10:09:21 +0900] "GET /WebClient/Ex04_Basic_Css.html HTTP/1.1" 200 1049
0:0:0:0:0:0:0:1 - - [10/Apr/2020:10:09:21 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [10/Apr/2020:10:09:21 +0900] "GET /WebClient/Ex04_Basic_Css.html HTTP/1.1" 200 1049
0:0:0:0:0:0:0:1 - - [10/Apr/2020:10:09:21 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [10/Apr/2020:10:09:22 +0900] "GET /WebClient/Ex04_Basic_Css.html HTTP/1.1" 200 1049
0:0:0:0:0:0:0:1 - - [10/Apr/2020:10:09:22 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [10/Apr/2020:10:09:22 +0900] "GET /WebClient/Ex04_Basic_Css.html HTTP/1.1" 200 1049
0:0:0:0:0:0:0:1 - - [10/Apr/2020:10:09:22 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [10/Apr/2020:10:09:22 +0900] "GET /WebClient/Ex04_Basic_Css.html HTTP/1.1" 200 1049
0:0:0:0:0:0:0:1 - - [10/Apr/2020:10:09:22 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [10/Apr/2020:10:09:22 +0900] "GET /WebClient/Ex04_Basic_Css.html HTTP/1.1" 200 1049
0:0:0:0:0:0:0:1 - - [10/Apr/2020:10:09:22 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [10/Apr/2020:10:09:22 +0900] "GET /WebClient/Ex04_Basic_Css.html HTTP/1.1" 200 1049
0:0:0:0:0:0:0:1 - - [10/Apr/2020:10:09:22 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [10/Apr/2020:10:09:27 +0900] "GET /WebClient/Ex04_Basic_Css.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2020:10:09:28 +0900] "GET /WebClient/Ex04_Basic_Css.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2020:10:09:28 +0900] "GET /WebClient/Ex04_Basic_Css.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2020:10:09:31 +0900] "GET /WebClient/Ex04_Basic_Css.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2020:10:11:19 +0900] "GET /WebClient/Ex04_Basic_Css.html HTTP/1.1" 200 831
0:0:0:0:0:0:0:1 - - [10/Apr/2020:10:11:34 +0900] "GET /WebClient/Ex05_Basic_Css.html HTTP/1.1" 200 1050
0:0:0:0:0:0:0:1 - - [10/Apr/2020:10:57:23 +0900] "GET /WebClient/Ex06_Basic_Table.html HTTP/1.1" 200 1122
0:0:0:0:0:0:0:1 - - [10/Apr/2020:10:58:15 +0900] "GET /WebClient/Ex06_Basic_Table.html HTTP/1.1" 200 901
0:0:0:0:0:0:0:1 - - [10/Apr/2020:11:00:02 +0900] "GET /WebClient/Ex06_Basic_Table.html HTTP/1.1" 200 996
0:0:0:0:0:0:0:1 - - [10/Apr/2020:11:01:09 +0900] "GET /WebClient/Ex06_Basic_Table.html HTTP/1.1" 200 1046
0:0:0:0:0:0:0:1 - - [10/Apr/2020:11:01:41 +0900] "GET /WebClient/Ex06_Basic_Table.html HTTP/1.1" 200 1066
0:0:0:0:0:0:0:1 - - [10/Apr/2020:11:02:07 +0900] "GET /WebClient/Ex06_Basic_Table.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2020:11:02:07 +0900] "GET /WebClient/Ex06_Basic_Table.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2020:11:02:08 +0900] "GET /WebClient/Ex06_Basic_Table.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2020:11:02:11 +0900] "GET /WebClient/Ex06_Basic_Table.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2020:11:02:12 +0900] "GET /WebClient/Ex06_Basic_Table.html HTTP/1.1" 200 1083
0:0:0:0:0:0:0:1 - - [10/Apr/2020:11:02:12 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [10/Apr/2020:11:03:50 +0900] "GET /WebClient/Ex06_Basic_Table.html HTTP/1.1" 200 1161
0:0:0:0:0:0:0:1 - - [10/Apr/2020:11:12:43 +0900] "GET /WebClient/Ex07_Basic_Table.html HTTP/1.1" 200 427
0:0:0:0:0:0:0:1 - - [10/Apr/2020:11:13:06 +0900] "GET /WebClient/Ex07_Basic_Table.html HTTP/1.1" 200 448
0:0:0:0:0:0:0:1 - - [10/Apr/2020:11:13:07 +0900] "GET /WebClient/Ex07_Basic_Table.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2020:11:14:38 +0900] "GET /WebClient/Ex07_Basic_Table.html HTTP/1.1" 200 1354
0:0:0:0:0:0:0:1 - - [10/Apr/2020:11:14:45 +0900] "GET /WebClient/Ex07_Basic_Table.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2020:11:14:46 +0900] "GET /WebClient/Ex07_Basic_Table.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2020:11:14:46 +0900] "GET /WebClient/Ex07_Basic_Table.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2020:11:14:47 +0900] "GET /WebClient/Ex07_Basic_Table.html HTTP/1.1" 200 1354
